party,score,orientation,counts,random_state
Free Democratic Party,0.2737361282367447,Right-wing,1622,49
Party of Democratic Socialism,0.2683246073298429,Left-wing,764,49
Social Democratic Party of Germany,0.2710727969348659,Left-wing,2088,49
Pirates,0.1911069063386944,Other,2114,49
Christian Democratic Union-Christian Social Union,0.2863741339491917,Right-wing,866,50
Alliance‘90-Greens,0.2745618693574084,Left-wing,1883,50
The Left,0.409982174688057,Left-wing,1122,50
Alternative for Germany,0.378012048192771,Right-wing,664,50
Free Democratic Party,0.183048433048433,Right-wing,1404,50
Party of Democratic Socialism,0.3014492753623188,Left-wing,1035,50
Social Democratic Party of Germany,0.2968159740960604,Left-wing,1853,50
Pirates,0.1609042553191489,Other,752,50
Christian Democratic Union-Christian Social Union,0.2593886462882096,Right-wing,1145,51
Alliance‘90-Greens,0.2403156384505021,Left-wing,1394,51
The Left,0.3914559721011333,Left-wing,1147,51
Alternative for Germany,0.4101221640488656,Right-wing,573,51
Free Democratic Party,0.1895223420647149,Right-wing,1947,51
Party of Democratic Socialism,0.1980108499095841,Left-wing,1106,51
Social Democratic Party of Germany,0.2810539523212045,Left-wing,1594,51
Pirates,0.1557377049180328,Other,488,51
Christian Democratic Union-Christian Social Union,0.288915808600848,Right-wing,1651,52
Alliance‘90-Greens,0.3048585157501334,Left-wing,1873,52
The Left,0.338391502276176,Left-wing,659,52
Alternative for Germany,0.4184308841843088,Right-wing,803,52
Free Democratic Party,0.224313725490196,Right-wing,1275,52
Party of Democratic Socialism,0.2118380062305296,Left-wing,321,52
Social Democratic Party of Germany,0.2297104888467014,Left-wing,2107,52
Pirates,0.271900826446281,Other,1210,52
Christian Democratic Union-Christian Social Union,0.3279766252739226,Right-wing,1369,53
Alliance‘90-Greens,0.2772373540856031,Left-wing,1028,53
The Left,0.5102040816326531,Left-wing,1078,53
Alternative for Germany,0.5389312977099237,Right-wing,655,53
Free Democratic Party,0.2726796014682748,Right-wing,1907,53
Party of Democratic Socialism,0.2202797202797203,Left-wing,1144,53
Social Democratic Party of Germany,0.3913869537682077,Left-wing,1579,53
Pirates,0.3193018480492813,Other,974,53
Christian Democratic Union-Christian Social Union,0.2992599444958372,Right-wing,2162,54
Alliance‘90-Greens,0.256582976117575,Left-wing,1633,54
The Left,0.466044142614601,Left-wing,1178,54
Alternative for Germany,0.453125,Right-wing,128,54
Free Democratic Party,0.3550660792951541,Right-wing,1135,54
Party of Democratic Socialism,0.3568702290076336,Left-wing,524,54
Social Democratic Party of Germany,0.3250904704463209,Left-wing,1658,54
Pirates,0.3557237464522232,Other,2114,54
Christian Democratic Union-Christian Social Union,0.2935153583617747,Right-wing,1465,55
Alliance‘90-Greens,0.2686567164179104,Left-wing,1943,55
The Left,0.4260355029585799,Left-wing,507,55
Alternative for Germany,0.4075235109717868,Right-wing,638,55
Free Democratic Party,0.3345111896348645,Right-wing,1698,55
Party of Democratic Socialism,0.2326024785510009,Left-wing,1049,55
Social Democratic Party of Germany,0.2601858470335954,Left-wing,1399,55
Pirates,0.3522920203735144,Other,1178,55
Christian Democratic Union-Christian Social Union,0.2804503582395087,Right-wing,1954,56
Alliance‘90-Greens,0.3129992737835875,Left-wing,1377,56
The Left,0.4721131186174391,Left-wing,1273,56
Alternative for Germany,0.4183835182250396,Right-wing,631,56
Free Democratic Party,0.3159968479117415,Right-wing,1269,56
Party of Democratic Socialism,0.3263358778625954,Left-wing,524,56
Social Democratic Party of Germany,0.2474413004214328,Left-wing,1661,56
Pirates,0.3710743801652892,Other,1210,56
Christian Democratic Union-Christian Social Union,0.2102425876010781,Right-wing,1484,57
Alliance‘90-Greens,0.161872532430908,Left-wing,1773,57
The Left,0.2715025906735751,Left-wing,965,57
Alternative for Germany,0.3127490039840637,Right-wing,502,57
Free Democratic Party,0.1812740487387772,Right-wing,2339,57
Party of Democratic Socialism,0.2149837133550488,Left-wing,307,57
Social Democratic Party of Germany,0.1655708308427973,Left-wing,1673,57
Pirates,0.25,Other,32,57
Christian Democratic Union-Christian Social Union,0.3276450511945392,Right-wing,1172,58
Alliance‘90-Greens,0.3335180055401662,Left-wing,1805,58
The Left,0.4599211563731931,Left-wing,761,58
Alternative for Germany,0.4831460674157303,Right-wing,979,58
Free Democratic Party,0.3217938630999213,Right-wing,1271,58
Party of Democratic Socialism,0.342756183745583,Left-wing,849,58
Social Democratic Party of Germany,0.3028764805414551,Left-wing,1773,58
Pirates,0.4383468834688347,Other,1476,58
Christian Democratic Union-Christian Social Union,0.2520699172033118,Right-wing,1087,59
Alliance‘90-Greens,0.2684299380979178,Left-wing,1777,59
The Left,0.5236994219653179,Left-wing,865,59
Alternative for Germany,0.4528497409326424,Right-wing,965,59
Free Democratic Party,0.3129280821917808,Right-wing,2336,59
Party of Democratic Socialism,0.3394495412844037,Left-wing,109,59
Social Democratic Party of Germany,0.2310067943174799,Left-wing,1619,59
Pirates,0.5142566191446029,Other,982,59
Christian Democratic Union-Christian Social Union,0.3357783211083944,Right-wing,1227,60
Alliance‘90-Greens,0.3335097935415563,Left-wing,1889,60
The Left,0.388,Left-wing,500,60
Alternative for Germany,0.5060034305317325,Right-wing,583,60
Free Democratic Party,0.24870734229576,Right-wing,1934,60
Party of Democratic Socialism,0.4792243767313019,Left-wing,361,60
Social Democratic Party of Germany,0.2013232514177693,Left-wing,2116,60
Pirates,0.274390243902439,Other,1476,60
Christian Democratic Union-Christian Social Union,0.2562938505984317,Right-wing,2423,61
Alliance‘90-Greens,0.2946985446985447,Left-wing,1924,61
The Left,0.477859778597786,Left-wing,1084,61
Alternative for Germany,0.5948717948717949,Right-wing,585,61
Free Democratic Party,0.2824427480916031,Right-wing,1048,61
Party of Democratic Socialism,0.4328808446455505,Left-wing,663,61
Social Democratic Party of Germany,0.3256006628003314,Left-wing,1207,61
Pirates,0.5037974683544304,Other,395,61
Christian Democratic Union-Christian Social Union,0.2645611156685808,Right-wing,2438,62
Alliance‘90-Greens,0.2669712793733681,Left-wing,1532,62
The Left,0.4010752688172043,Left-wing,930,62
Alternative for Germany,0.5138888888888888,Right-wing,792,62
Free Democratic Party,0.2374154770848985,Right-wing,1331,62
Party of Democratic Socialism,0.2676056338028169,Left-wing,355,62
Social Democratic Party of Germany,0.2260162601626016,Left-wing,1230,62
Pirates,0.2741390952059419,Other,1481,62
Christian Democratic Union-Christian Social Union,0.3684593023255814,Right-wing,1376,63
Alliance‘90-Greens,0.2671691792294807,Left-wing,2388,63
The Left,0.5532258064516129,Left-wing,620,63
Alternative for Germany,0.4506329113924051,Right-wing,790,63
Free Democratic Party,0.324696802646086,Right-wing,1814,63
Party of Democratic Socialism,0.308411214953271,Left-wing,321,63
Social Democratic Party of Germany,0.2909090909090909,Left-wing,1650,63
Pirates,0.2797427652733119,Other,311,63
Christian Democratic Union-Christian Social Union,0.1655172413793103,Right-wing,1160,64
Alliance‘90-Greens,0.2003424657534246,Left-wing,1752,64
The Left,0.3990384615384615,Left-wing,832,64
Alternative for Germany,0.4347275031685678,Right-wing,789,64
Free Democratic Party,0.2589235127478753,Right-wing,1765,64
Party of Democratic Socialism,0.192170818505338,Left-wing,281,64
Social Democratic Party of Germany,0.2321428571428571,Left-wing,2464,64
Pirates,0.25,Other,32,64
Christian Democratic Union-Christian Social Union,0.2690058479532163,Right-wing,1368,65
Alliance‘90-Greens,0.2897139379184418,Left-wing,1643,65
The Left,0.444106463878327,Left-wing,1315,65
Alternative for Germany,0.3258655804480652,Right-wing,491,65
Free Democratic Party,0.2730006013229104,Right-wing,1663,65
Party of Democratic Socialism,0.3016241299303944,Left-wing,431,65
Social Democratic Party of Germany,0.3217636022514071,Left-wing,2132,65
Pirates,0.21875,Other,32,65
Christian Democratic Union-Christian Social Union,0.1785209609043806,Right-wing,2123,66
Alliance‘90-Greens,0.2648026315789473,Left-wing,1824,66
The Left,0.4035874439461883,Left-wing,446,66
Alternative for Germany,0.4262295081967213,Right-wing,671,66
Free Democratic Party,0.2779809802487198,Right-wing,1367,66
Party of Democratic Socialism,0.2044293015332197,Left-wing,587,66
Social Democratic Party of Germany,0.2496855345911949,Left-wing,1590,66
Pirates,0.3018230925050641,Other,1481,66
Christian Democratic Union-Christian Social Union,0.2964187327823691,Right-wing,1815,67
Alliance‘90-Greens,0.3499433748584371,Left-wing,883,67
The Left,0.4677846425419241,Left-wing,1133,67
Alternative for Germany,0.416445623342175,Right-wing,377,67
Free Democratic Party,0.2990702479338843,Right-wing,1936,67
Party of Democratic Socialism,0.2920962199312715,Left-wing,582,67
Social Democratic Party of Germany,0.3392766174223128,Left-wing,1963,67
Pirates,0.2834710743801653,Other,1210,67
Christian Democratic Union-Christian Social Union,0.2860892388451443,Right-wing,1905,68
Alliance‘90-Greens,0.2164328657314629,Left-wing,1497,68
The Left,0.4823914823914824,Left-wing,1221,68
Alternative for Germany,0.4199029126213592,Right-wing,412,68
Free Democratic Party,0.267883571780957,Right-wing,2027,68
Party of Democratic Socialism,0.2585438335809807,Left-wing,673,68
Social Democratic Party of Germany,0.2784810126582278,Left-wing,1185,68
Pirates,0.3045454545454545,Other,440,68
Christian Democratic Union-Christian Social Union,0.3279376498800959,Right-wing,1668,69
Alliance‘90-Greens,0.2025316455696202,Left-wing,1501,69
The Left,0.5097210481825867,Left-wing,1183,69
Alternative for Germany,0.4936908517350157,Right-wing,634,69
Free Democratic Party,0.3612099644128114,Right-wing,1124,69
Party of Democratic Socialism,0.3180778032036613,Left-wing,437,69
Social Democratic Party of Germany,0.3529647435897436,Left-wing,2496,69
Pirates,0.125,Other,32,69
Christian Democratic Union-Christian Social Union,0.318158567774936,Right-wing,1955,70
Alliance‘90-Greens,0.28270412642669,Left-wing,1139,70
The Left,0.5036437246963563,Left-wing,1235,70
Alternative for Germany,0.4216867469879518,Right-wing,415,70
Free Democratic Party,0.3579188107489994,Right-wing,1749,70
Party of Democratic Socialism,0.2825719120135364,Left-wing,591,70
Social Democratic Party of Germany,0.3039039039039039,Left-wing,1665,70
Pirates,0.2677865612648221,Other,1012,70
Christian Democratic Union-Christian Social Union,0.2437252311756935,Right-wing,1514,71
Alliance‘90-Greens,0.2120075046904315,Left-wing,1599,71
The Left,0.4932191291934332,Left-wing,1401,71
Alternative for Germany,0.4428969359331476,Right-wing,1077,71
Free Democratic Party,0.2675619834710744,Right-wing,1936,71
Party of Democratic Socialism,0.2177419354838709,Left-wing,124,71
Social Democratic Party of Germany,0.2142857142857142,Left-wing,1176,71
Pirates,0.1529255319148936,Other,752,71
Christian Democratic Union-Christian Social Union,0.3067694944301628,Right-wing,1167,72
Alliance‘90-Greens,0.3068381063705435,Left-wing,1711,72
The Left,0.4036697247706422,Left-wing,1090,72
Alternative for Germany,0.4096638655462185,Right-wing,476,72
Free Democratic Party,0.271280276816609,Right-wing,1445,72
Party of Democratic Socialism,0.2970890410958904,Left-wing,1168,72
Social Democratic Party of Germany,0.3209876543209876,Left-wing,1701,72
Pirates,0.2535641547861507,Other,982,72
Christian Democratic Union-Christian Social Union,0.3249299719887955,Right-wing,2142,73
Alliance‘90-Greens,0.3165382335506816,Left-wing,1687,73
The Left,0.4767080745341615,Left-wing,1288,73
Alternative for Germany,0.3451957295373665,Right-wing,562,73
Free Democratic Party,0.2611806797853309,Right-wing,1118,73
Party of Democratic Socialism,0.2803347280334728,Left-wing,478,73
Social Democratic Party of Germany,0.2503225806451613,Left-wing,1550,73
Pirates,0.2285336856010568,Other,757,73
Christian Democratic Union-Christian Social Union,0.2227332457293035,Right-wing,1522,74
Alliance‘90-Greens,0.2868125369603784,Left-wing,1691,74
The Left,0.3925353925353925,Left-wing,777,74
Alternative for Germany,0.4981366459627329,Right-wing,805,74
Free Democratic Party,0.2043859649122807,Right-wing,1140,74
Party of Democratic Socialism,0.2378787878787878,Left-wing,660,74
Social Democratic Party of Germany,0.2840605520926091,Left-wing,2246,74
Pirates,0.2195467422096317,Other,706,74
Christian Democratic Union-Christian Social Union,0.2219202898550724,Right-wing,2208,75
Alliance‘90-Greens,0.2859103385178408,Left-wing,2186,75
The Left,0.4152791380999021,Left-wing,1021,75
Alternative for Germany,0.4727954971857411,Right-wing,533,75
Free Democratic Party,0.3047965998785671,Right-wing,1647,75
Party of Democratic Socialism,0.2833333333333333,Left-wing,360,75
Social Democratic Party of Germany,0.3687782805429864,Left-wing,884,75
Pirates,0.3845070422535211,Other,710,75
Christian Democratic Union-Christian Social Union,0.2935617247489663,Right-wing,1693,76
Alliance‘90-Greens,0.2508561643835616,Left-wing,1168,76
The Left,0.4231856738925542,Left-wing,1061,76
Alternative for Germany,0.4152744630071599,Right-wing,1257,76
Free Democratic Party,0.2786585365853659,Right-wing,1640,76
Party of Democratic Socialism,0.2413162705667276,Left-wing,547,76
Social Democratic Party of Germany,0.2451737451737451,Left-wing,1554,76
Pirates,0.2545454545454545,Other,440,76
Christian Democratic Union-Christian Social Union,0.3484723369116432,Right-wing,1211,77
Alliance‘90-Greens,0.2267002518891687,Left-wing,2382,77
The Left,0.5,Left-wing,840,77
Alternative for Germany,0.5038314176245211,Right-wing,522,77
Free Democratic Party,0.1974483596597812,Right-wing,1646,77
Party of Democratic Socialism,0.2911694510739857,Left-wing,419,77
Social Democratic Party of Germany,0.2883031301482702,Left-wing,1821,77
Pirates,0.4079320113314447,Other,706,77
Christian Democratic Union-Christian Social Union,0.3089564502875924,Right-wing,1217,78
Alliance‘90-Greens,0.293746051800379,Left-wing,1583,78
The Left,0.5235336712527154,Left-wing,1381,78
Alternative for Germany,0.4814090019569471,Right-wing,1022,78
Free Democratic Party,0.3105485232067511,Right-wing,1185,78
Party of Democratic Socialism,0.2466539196940726,Left-wing,523,78
Social Democratic Party of Germany,0.3690851735015772,Left-wing,1268,78
Pirates,0.5082474226804123,Other,2910,78
Christian Democratic Union-Christian Social Union,0.2795883361921097,Right-wing,2332,79
Alliance‘90-Greens,0.2407704654895666,Left-wing,1869,79
The Left,0.4778225806451613,Left-wing,992,79
Alternative for Germany,0.4551282051282051,Right-wing,312,79
Free Democratic Party,0.3653395784543325,Right-wing,1708,79
Party of Democratic Socialism,0.254278728606357,Left-wing,409,79
Social Democratic Party of Germany,0.3158388003748828,Left-wing,1067,79
Pirates,0.3355371900826446,Other,1210,79
Christian Democratic Union-Christian Social Union,0.2674210839785587,Right-wing,1679,80
Alliance‘90-Greens,0.2128189172370877,Left-wing,1607,80
The Left,0.4386750223813787,Left-wing,1117,80
Alternative for Germany,0.4731610337972167,Right-wing,1006,80
Free Democratic Party,0.2343096234309623,Right-wing,1434,80
Party of Democratic Socialism,0.5163265306122449,Left-wing,490,80
Social Democratic Party of Germany,0.2721179624664879,Left-wing,1492,80
Pirates,0.4663143989431968,Other,757,80
Christian Democratic Union-Christian Social Union,0.2926115581565471,Right-wing,1367,81
Alliance‘90-Greens,0.3049327354260089,Left-wing,1338,81
The Left,0.4816955684007707,Left-wing,1038,81
Alternative for Germany,0.5185995623632386,Right-wing,457,81
Free Democratic Party,0.350431447746884,Right-wing,2086,81
Party of Democratic Socialism,0.3677685950413223,Left-wing,968,81
Social Democratic Party of Germany,0.3409815168897387,Left-wing,1569,81
Pirates,0.5058823529411764,Other,765,81
Christian Democratic Union-Christian Social Union,0.2306547619047619,Right-wing,1344,82
Alliance‘90-Greens,0.2303225806451612,Left-wing,1550,82
The Left,0.4072847682119205,Left-wing,302,82
Alternative for Germany,0.3802083333333333,Right-wing,576,82
Free Democratic Party,0.2871747211895911,Right-wing,2152,82
Party of Democratic Socialism,0.2413793103448276,Left-wing,957,82
Social Democratic Party of Germany,0.2496147919876733,Left-wing,1298,82
Pirates,0.2439862542955326,Other,2910,82
Christian Democratic Union-Christian Social Union,0.3962900505902192,Right-wing,1779,83
Alliance‘90-Greens,0.294156270518713,Left-wing,1523,83
The Left,0.4992012779552716,Left-wing,1252,83
Alternative for Germany,0.3835294117647059,Right-wing,425,83
Free Democratic Party,0.3143350604490501,Right-wing,1737,83
Party of Democratic Socialism,0.3387533875338753,Left-wing,369,83
Social Democratic Party of Germany,0.3171846435100548,Left-wing,1094,83
Pirates,0.3728522336769759,Other,2910,83
Christian Democratic Union-Christian Social Union,0.1918386491557223,Right-wing,2132,84
Alliance‘90-Greens,0.2627013630731102,Left-wing,1614,84
The Left,0.4089108910891089,Left-wing,1010,84
Alternative for Germany,0.3333333333333333,Right-wing,240,84
Free Democratic Party,0.1863938053097345,Right-wing,1808,84
Party of Democratic Socialism,0.3333333333333333,Left-wing,303,84
Social Democratic Party of Germany,0.2086894586894586,Left-wing,1404,84
Pirates,0.1965669988925802,Other,1806,84
Christian Democratic Union-Christian Social Union,0.245930488341399,Right-wing,2273,85
Alliance‘90-Greens,0.239529757531227,Left-wing,1361,85
The Left,0.3007662835249042,Left-wing,522,85
Alternative for Germany,0.3815261044176707,Right-wing,747,85
Free Democratic Party,0.2138801261829653,Right-wing,1585,85
Party of Democratic Socialism,0.2217391304347826,Left-wing,920,85
Social Democratic Party of Germany,0.2185185185185185,Left-wing,1350,85
Pirates,0.2484725050916497,Other,982,85
Christian Democratic Union-Christian Social Union,0.2714497041420118,Right-wing,1352,86
Alliance‘90-Greens,0.2523364485981308,Left-wing,1605,86
The Left,0.4128274616079494,Left-wing,1107,86
Alternative for Germany,0.4176954732510288,Right-wing,486,86
Free Democratic Party,0.2656641604010025,Right-wing,2394,86
Party of Democratic Socialism,0.2868217054263566,Left-wing,387,86
Social Democratic Party of Germany,0.2564821303433777,Left-wing,1427,86
Pirates,0.2647657841140529,Other,982,86
Christian Democratic Union-Christian Social Union,0.1766735679779158,Right-wing,1449,87
Alliance‘90-Greens,0.221875,Left-wing,1600,87
The Left,0.4799651567944251,Left-wing,1148,87
Alternative for Germany,0.3154761904761904,Right-wing,168,87
Free Democratic Party,0.2594000844951415,Right-wing,2367,87
Party of Democratic Socialism,0.2120689655172414,Left-wing,580,87
Social Democratic Party of Germany,0.2298624754420432,Left-wing,1527,87
Pirates,0.2309859154929577,Other,710,87
Christian Democratic Union-Christian Social Union,0.3475130890052356,Right-wing,1528,88
Alliance‘90-Greens,0.2587412587412587,Left-wing,1716,88
The Left,0.4128878281622912,Left-wing,1257,88
Alternative for Germany,0.4240963855421686,Right-wing,415,88
Free Democratic Party,0.3195046439628483,Right-wing,1615,88
Party of Democratic Socialism,0.2816326530612245,Left-wing,490,88
Social Democratic Party of Germany,0.3193936225823314,Left-wing,1913,88
Pirates,0.3139240506329114,Other,395,88
Christian Democratic Union-Christian Social Union,0.3044569993722536,Right-wing,1593,89
Alliance‘90-Greens,0.2872860635696821,Left-wing,1636,89
The Left,0.4624145785876993,Left-wing,878,89
Alternative for Germany,0.4096385542168674,Right-wing,913,89
Free Democratic Party,0.2362309223623092,Right-wing,1507,89
Party of Democratic Socialism,0.3170426065162907,Left-wing,798,89
Social Democratic Party of Germany,0.2656458055925432,Left-wing,1502,89
Pirates,0.375,Other,752,89
Christian Democratic Union-Christian Social Union,0.194021101992966,Right-wing,1706,90
Alliance‘90-Greens,0.2224631396357328,Left-wing,2306,90
The Left,0.4891846921797005,Left-wing,601,90
Alternative for Germany,0.4953271028037383,Right-wing,428,90
Free Democratic Party,0.2224681793027116,Right-wing,1807,90
Party of Democratic Socialism,0.2363013698630137,Left-wing,292,90
Social Democratic Party of Germany,0.2235576923076923,Left-wing,1664,90
Pirates,0.2394195888754534,Other,827,90
Christian Democratic Union-Christian Social Union,0.2120592743995912,Right-wing,1957,91
Alliance‘90-Greens,0.2652152399802078,Left-wing,2021,91
The Left,0.4363827549947424,Left-wing,951,91
Alternative for Germany,0.3533123028391167,Right-wing,317,91
Free Democratic Party,0.2080112438510189,Right-wing,1423,91
Party of Democratic Socialism,0.292079207920792,Left-wing,202,91
Social Democratic Party of Germany,0.2087155963302752,Left-wing,1308,91
Pirates,0.3384879725085911,Other,2910,91
Christian Democratic Union-Christian Social Union,0.2101587301587301,Right-wing,1575,92
Alliance‘90-Greens,0.2945337620578778,Left-wing,1555,92
The Left,0.381646030589949,Left-wing,1373,92
Alternative for Germany,0.3803986710963455,Right-wing,602,92
Free Democratic Party,0.1963894967177243,Right-wing,1828,92
Party of Democratic Socialism,0.2725430597771023,Left-wing,987,92
Social Democratic Party of Germany,0.2150313152400835,Left-wing,958,92
Pirates,0.2611683848797251,Other,582,92
Christian Democratic Union-Christian Social Union,0.1857047428189712,Right-wing,1497,93
Alliance‘90-Greens,0.2372727272727272,Left-wing,2200,93
The Left,0.3810359964881475,Left-wing,1139,93
Alternative for Germany,0.3603603603603603,Right-wing,555,93
Free Democratic Party,0.1756440281030445,Right-wing,854,93
Party of Democratic Socialism,0.2708860759493671,Left-wing,790,93
Social Democratic Party of Germany,0.16796875,Left-wing,1792,93
Pirates,0.3271276595744681,Other,752,93
Christian Democratic Union-Christian Social Union,0.2733661278988053,Right-wing,1423,94
Alliance‘90-Greens,0.2399368587213891,Left-wing,1267,94
The Left,0.42125,Left-wing,800,94
Alternative for Germany,0.4455205811138014,Right-wing,413,94
Free Democratic Party,0.2555953446732318,Right-wing,2234,94
Party of Democratic Socialism,0.2432,Left-wing,625,94
Social Democratic Party of Germany,0.2413549752999294,Left-wing,1417,94
Pirates,0.2350515463917525,Other,2910,94
Christian Democratic Union-Christian Social Union,0.243144424131627,Right-wing,2188,95
Alliance‘90-Greens,0.3144654088050314,Left-wing,1590,95
The Left,0.4335378323108384,Left-wing,489,95
Alternative for Germany,0.4385964912280701,Right-wing,399,95
Free Democratic Party,0.308568598315998,Right-wing,2019,95
Party of Democratic Socialism,0.3028485757121439,Left-wing,667,95
Social Democratic Party of Germany,0.2818917237087741,Left-wing,1607,95
Pirates,0.3729903536977492,Other,311,95
Christian Democratic Union-Christian Social Union,0.2701949860724233,Right-wing,2513,96
Alliance‘90-Greens,0.2922940655447298,Left-wing,1129,96
The Left,0.4127388535031847,Left-wing,785,96
Alternative for Germany,0.5140845070422535,Right-wing,568,96
Free Democratic Party,0.3177427554651754,Right-wing,1967,96
Party of Democratic Socialism,0.2754629629629629,Left-wing,432,96
Social Democratic Party of Germany,0.3057471264367816,Left-wing,1305,96
Pirates,0.2156196943972835,Other,1178,96
Christian Democratic Union-Christian Social Union,0.2674661105318039,Right-wing,1918,97
Alliance‘90-Greens,0.2364597093791281,Left-wing,1514,97
The Left,0.4064465408805031,Left-wing,1272,97
Alternative for Germany,0.3094233473980309,Right-wing,711,97
Free Democratic Party,0.230593607305936,Right-wing,876,97
Party of Democratic Socialism,0.2053036783575705,Left-wing,1169,97
Social Democratic Party of Germany,0.2277856135401974,Left-wing,1418,97
Pirates,0.4140893470790378,Other,582,97
Christian Democratic Union-Christian Social Union,0.2946954813359528,Right-wing,1018,98
Alliance‘90-Greens,0.1864700780572419,Left-wing,1153,98
The Left,0.3452380952380952,Left-wing,504,98
Alternative for Germany,0.6601036269430052,Right-wing,965,98
Free Democratic Party,0.2323064113238967,Right-wing,2402,98
Party of Democratic Socialism,0.2325763508222396,Left-wing,1277,98
Social Democratic Party of Germany,0.1866581141757536,Left-wing,1559,98
Pirates,0.2525773195876288,Other,582,98
Christian Democratic Union-Christian Social Union,0.2620232172470978,Right-wing,1206,99
Alliance‘90-Greens,0.28224023581429625,Left-wing,1357,99
The Left,0.4667143879742305,Left-wing,1397,99
Alternative for Germany,0.4826522744795682,Right-wing,1297,99
Free Democratic Party,0.25625625625625625,Right-wing,999,99
Party of Democratic Socialism,0.2701908957415565,Left-wing,681,99
Social Democratic Party of Germany,0.30275715800636266,Left-wing,1886,99
Pirates,0.3176470588235294,Other,765,99
